IMAGE,CURRENT_FIX_INDEX,CURRENT_FIX_X,CURRENT_FIX_Y,CURRENT_FIX_DURATION,CURRENT_FIX_PUPIL,CURRENT_FIX_START,IMAGE_HEIGHT,IMAGE_WIDTH
Prostate3T-01-0002_16.jpg,1,0.480020833,0.464453125,249,1231,7,320,320
Prostate3T-01-0002_16.jpg,2,0.503848958,0.475520833,445,1402,271,320,320
Prostate3T-01-0002_16.jpg,3,0.483927083,0.493489583,303,1759,728,320,320
Prostate3T-01-0002_16.jpg,4,0.497078125,0.521223958,325,1957,1046,320,320
Prostate3T-01-0002_16.jpg,5,0.533145833,0.525651042,471,2041,1389,320,320
Prostate3T-01-0002_16.jpg,6,0.609447917,0.515885417,310,1979,1887,320,320
Prostate3T-01-0002_16.jpg,7,0.581973958,0.53828125,297,1915,2211,320,320
Prostate3T-01-0002_16.jpg,8,0.627416667,0.506119792,247,1923,2528,320,320
Prostate3T-01-0002_16.jpg,9,0.635359375,0.466666667,363,1922,2795,320,320
Prostate3T-01-0002_16.jpg,10,0.589135417,0.486067708,276,1867,3175,320,320
Prostate3T-01-0002_16.jpg,11,0.561010417,0.507552083,288,1960,3470,320,320
Prostate3T-01-0002_16.jpg,12,0.528328125,0.492447917,670,1988,3769,320,320
Prostate3T-01-0002_16.jpg,13,0.58965625,0.454557292,383,2032,4464,320,320
Prostate3T-01-0002_16.jpg,14,0.549291667,0.50390625,678,1980,4864,320,320
Prostate3T-01-0001_13.jpg,1,0.512572917,0.489479167,240,1649,7,320,320
Prostate3T-01-0001_13.jpg,2,0.471947917,0.457057292,299,1772,261,320,320
Prostate3T-01-0001_13.jpg,3,0.474161458,0.41578125,560,2004,569,320,320
Prostate3T-01-0001_13.jpg,4,0.451635417,0.425546875,437,2206,1141,320,320
Prostate3T-01-0001_13.jpg,5,0.4873125,0.444817708,629,2363,1594,320,320
Prostate3T-01-0001_13.jpg,6,0.508145833,0.411354167,534,2393,2233,320,320
Prostate3T-01-0001_13.jpg,7,0.532494792,0.434791667,291,2398,2778,320,320
Prostate3T-01-0001_13.jpg,8,0.534317708,0.451328125,247,2393,3080,320,320
Prostate3T-01-0001_13.jpg,9,0.540046875,0.395208333,261,2416,3343,320,320
Prostate3T-01-0001_13.jpg,10,0.570255208,0.395208333,1058,2465,3619,320,320
Prostate3T-01-0001_13.jpg,11,0.582885417,0.396119792,494,2560,4686,320,320
Prostate3T-01-0001_13.jpg,12,0.534447917,0.411484375,567,2612,5200,320,320
Prostate3T-01-0001_13.jpg,13,0.58653125,0.405104167,826,2586,5780,320,320
Prostate3T-01-0001_13.jpg,14,0.569994792,0.395989583,835,2541,6614,320,320
Prostate3T-01-0001_13.jpg,15,0.586661458,0.397161458,841,2619,7460,320,320
Prostate3T-01-0001_13.jpg,16,0.587052083,0.407447917,276,2644,8308,320,320
Prostate3T-01-0001_13.jpg,17,0.551505208,0.426588542,594,2661,8600,320,320
